小区,老人类型,服务项目,理论月需求(次),实际月需求(次),单次营收(元),单次成本(元)
A,自理,助餐,7294,7294,10.0,8.0
A,自理,日间照料,4168,4168,20.0,16.0
A,自理,上门护理,0,0,30.0,24.0
A,自理,康复理疗,1042,1042,28.0,23.0
A,自理,助浴,0,0,25.0,20.0
A,自理,紧急救助,78,78,0.0,8.0
A,半失能,助餐,3000,3000,10.0,8.0
A,半失能,日间照料,2100,2100,20.0,16.0
A,半失能,上门护理,900,900,30.0,24.0
A,半失能,康复理疗,600,600,28.0,23.0
A,半失能,助浴,300,300,25.0,20.0
A,半失能,紧急救助,150,150,0.0,8.0
A,失能,助餐,2508,2118,10.0,8.0
A,失能,日间照料,2052,1733,20.0,16.0
A,失能,上门护理,1368,1155,30.0,24.0
A,失能,康复理疗,684,578,28.0,23.0
A,失能,助浴,456,385,25.0,20.0
A,失能,紧急救助,342,289,0.0,8.0
B,自理,助餐,6104,6104,10.0,8.0
B,自理,日间照料,3488,3488,20.0,16.0
B,自理,上门护理,0,0,30.0,24.0
B,自理,康复理疗,872,872,28.0,23.0
B,自理,助浴,0,0,25.0,20.0
B,自理,紧急救助,65,65,0.0,8.0
B,半失能,助餐,2600,2451,10.0,8.0
B,半失能,日间照料,1820,1716,20.0,16.0
B,半失能,上门护理,780,735,30.0,24.0
B,半失能,康复理疗,520,490,28.0,23.0
B,半失能,助浴,260,245,25.0,20.0
B,半失能,紧急救助,130,123,0.0,8.0
B,失能,助餐,2332,1795,10.0,8.0
B,失能,日间照料,1908,1469,20.0,16.0
B,失能,上门护理,1272,979,30.0,24.0
B,失能,康复理疗,636,490,28.0,23.0
B,失能,助浴,424,326,25.0,20.0
B,失能,紧急救助,318,245,0.0,8.0
C,自理,助餐,9366,9366,10.0,8.0
C,自理,日间照料,5352,5352,20.0,16.0
C,自理,上门护理,0,0,30.0,24.0
C,自理,康复理疗,1338,1338,28.0,23.0
C,自理,助浴,0,0,25.0,20.0
C,自理,紧急救助,100,100,0.0,8.0
C,半失能,助餐,3980,3980,10.0,8.0
C,半失能,日间照料,2786,2786,20.0,16.0
C,半失能,上门护理,1194,1194,30.0,24.0
C,半失能,康复理疗,796,796,28.0,23.0
C,半失能,助浴,398,398,25.0,20.0
C,半失能,紧急救助,199,199,0.0,8.0
C,失能,助餐,3300,3114,10.0,8.0
C,失能,日间照料,2700,2548,20.0,16.0
C,失能,上门护理,1800,1699,30.0,24.0
C,失能,康复理疗,900,849,28.0,23.0
C,失能,助浴,600,566,25.0,20.0
C,失能,紧急救助,450,425,0.0,8.0
D,自理,助餐,5474,5474,10.0,8.0
D,自理,日间照料,3128,3128,20.0,16.0
D,自理,上门护理,0,0,30.0,24.0
D,自理,康复理疗,782,782,28.0,23.0
D,自理,助浴,0,0,25.0,20.0
D,自理,紧急救助,59,59,0.0,8.0
D,半失能,助餐,2300,2029,10.0,8.0
D,半失能,日间照料,1610,1420,20.0,16.0
D,半失能,上门护理,690,609,30.0,24.0
D,半失能,康复理疗,460,406,28.0,23.0
D,半失能,助浴,230,203,25.0,20.0
D,半失能,紧急救助,115,101,0.0,8.0
D,失能,助餐,2068,1489,10.0,8.0
D,失能,日间照料,1692,1219,20.0,16.0
D,失能,上门护理,1128,812,30.0,24.0
D,失能,康复理疗,564,406,28.0,23.0
D,失能,助浴,376,271,25.0,20.0
D,失能,紧急救助,282,203,0.0,8.0
E,自理,助餐,7938,7938,10.0,8.0
E,自理,日间照料,4536,4536,20.0,16.0
E,自理,上门护理,0,0,30.0,24.0
E,自理,康复理疗,1134,1134,28.0,23.0
E,自理,助浴,0,0,25.0,20.0
E,自理,紧急救助,85,85,0.0,8.0
E,半失能,助餐,3360,3360,10.0,8.0
E,半失能,日间照料,2352,2352,20.0,16.0
E,半失能,上门护理,1008,1008,30.0,24.0
E,半失能,康复理疗,672,672,28.0,23.0
E,半失能,助浴,336,336,25.0,20.0
E,半失能,紧急救助,168,168,0.0,8.0
E,失能,助餐,2838,2467,10.0,8.0
E,失能,日间照料,2322,2018,20.0,16.0
E,失能,上门护理,1548,1346,30.0,24.0
E,失能,康复理疗,774,673,28.0,23.0
E,失能,助浴,516,449,25.0,20.0
E,失能,紧急救助,387,336,0.0,8.0
F,自理,助餐,4830,4830,10.0,8.0
F,自理,日间照料,2760,2760,20.0,16.0
F,自理,上门护理,0,0,30.0,24.0
F,自理,康复理疗,690,690,28.0,23.0
F,自理,助浴,0,0,25.0,20.0
F,自理,紧急救助,52,52,0.0,8.0
F,半失能,助餐,2020,1659,10.0,8.0
F,半失能,日间照料,1414,1161,20.0,16.0
F,半失能,上门护理,606,498,30.0,24.0
F,半失能,康复理疗,404,332,28.0,23.0
F,半失能,助浴,202,166,25.0,20.0
F,半失能,紧急救助,101,83,0.0,8.0
F,失能,助餐,1628,1092,10.0,8.0
F,失能,日间照料,1332,893,20.0,16.0
F,失能,上门护理,888,595,30.0,24.0
F,失能,康复理疗,444,298,28.0,23.0
F,失能,助浴,296,198,25.0,20.0
F,失能,紧急救助,222,149,0.0,8.0
